65187|doi|10.7910/DVN1|22670|true
65187|doi|10.7910/DVN1|22670|true
65172|doi|10.7910/DVN1|22672|true
59784|doi|10.7910/DVN1|22640|true
59676|doi|10.7910/DVN1|22643|true
59650|doi|10.7910/DVN1|22645|true
57623|doi|10.7910/DVN1|22711|true
56779|doi|10.7910/DVN1|22704|true
56655|doi|10.7910/DVN1|3FZ8TJ|true
56456|doi|10.7910/DVN1|22656|true
55840|doi|10.7910/DVN1|22644|true
54879|doi|10.7910/DVN1|22633|true
53985|doi|10.7910/DVN1|22641|true
53518|doi|10.7910/DVN1|22638|true
53366|doi|10.7910/DVN1|22682|true
53359|doi|10.7910/DVN1|22675|true
53349|doi|10.7910/DVN1|22674|true
53347|doi|10.7910/DVN1|22707|true
53344|doi|10.7910/DVN1|22698|true
53340|doi|10.7910/DVN1|22666|true
53231|doi|10.7910/DVN1|22630|true
53144|doi|10.7910/DVN1|22691|true
52897|doi|10.7910/DVN1|22651|true
48785|doi|10.7910/DVN1|22662|true
48737|doi|10.7910/DVN1|22659|true
48658|doi|10.7910/DVN1|22660|true
47398|doi|10.7910/DVN1|22634|true
47149|doi|10.7910/DVN1|22665|true
47145|doi|10.7910/DVN1|22637|true
47142|doi|10.7910/DVN1|22636|true
46594|doi|10.7910/DVN1|22658|true
