66319|doi|10.7910/DVN|29379
66318|doi|10.7910/DVN|29117
66317|doi|10.7910/DVN|28746
66316|doi|10.7910/DVN|29559
66315|doi|10.7910/DVN|28929
66314|doi|10.7910/DVN|29179
66313|doi|10.7910/DVN|29314
66312|doi|10.7910/DVN|28930
66311|doi|10.7910/DVN|29427
66310|doi|10.7910/DVN|29286
66309|doi|10.7910/DVN|29026
66308|doi|10.7910/DVN|29205
66307|doi|10.7910/DVN|29743
66306|doi|10.7910/DVN|29076
66305|doi|10.7910/DVN|29231
66304|doi|10.7910/DVN|29259
66303|doi|10.7910/DVN|29487
66302|doi|10.7910/DVN|29101
66301|doi|10.7910/DVN|29446
66300|doi|10.7910/DVN|29566
66299|doi|10.7910/DVN|29108
66298|doi|10.7910/DVN|28858
66297|doi|10.7910/DVN|27571
66293|doi|10.7910/DVN|26596
66292|doi|10.7910/DVN|26591
66291|doi|10.7910/DVN|26594
66290|doi|10.7910/DVN|26579
66287|doi|10.7910/DVN|28832
66286|doi|10.7910/DVN|24841
66285|doi|10.7910/DVN|29241
66284|doi|10.7910/DVN|24845
66282|doi|10.7910/DVN|28544
66280|doi|10.7910/DVN|25639
66276|doi|10.7910/DVN|27448
66275|doi|10.7910/DVN|27792
66274|doi|10.7910/DVN|26535
66272|doi|10.7910/DVN|24844
66270|doi|10.7910/DVN|26256
66269|doi|10.7910/DVN|27449
66267|doi|10.7910/DVN|28028
66263|doi|10.7910/DVN|24842
66262|doi|10.7910/DVN|24846
66257|doi|10.7910/DVN|26984
66255|doi|10.7910/DVN|26810
66254|doi|10.7910/DVN|25008
66253|doi|10.7910/DVN|29943
66247|doi|10.7910/DVN|25490
66242|doi|10.7910/DVN|24843
66238|doi|10.7910/DVN|29106
66237|doi|10.7910/DVN|27655
66236|doi|10.7910/DVN|22791
66235|doi|10.7910/DVN|22783
66234|doi|10.7910/DVN|22962
66233|doi|10.7910/DVN|22964
66232|doi|10.7910/DVN|22963
66231|doi|10.7910/DVN|22788
66230|doi|10.7910/DVN|22784
66229|doi|10.7910/DVN|23032
66218|doi|10.7910/DVN|23030
66210|doi|10.7910/DVN|28632
66209|doi|10.7910/DVN|26137
66208|doi|10.7910/DVN|24571
66207|doi|10.7910/DVN|24568
66204|doi|10.7910/DVN|25502
66203|doi|10.7910/DVN|29214
66202|doi|10.7910/DVN|25444
66201|doi|10.7910/DVN|25434
66200|doi|10.7910/DVN|26448
66199|doi|10.7910/DVN|26683
66198|doi|10.7910/DVN|27975
66197|doi|10.7910/DVN|28689
66196|doi|10.7910/DVN|27823
66195|doi|10.7910/DVN|27824
66194|doi|10.7910/DVN|29840
66193|doi|10.7910/DVN|27594
66192|doi|10.7910/DVN|26818
66191|doi|10.7910/DVN|24124
66186|doi|10.7910/DVN|29159
66183|doi|10.7910/DVN|24250
66178|doi|10.7910/DVN|24247
66172|doi|10.7910/DVN|24251
66169|doi|10.7910/DVN|27354
66157|doi|10.7910/DVN|25261
66156|doi|10.7910/DVN|27360
66154|doi|10.7910/DVN|24434
66151|doi|10.7910/DVN|24432
66145|doi|10.7910/DVN|24433
